id,tenant_id,code,name,legal_name,rfc,email,phone,billing_address,shipping_address,store_id,default_price_list_id,credit_limit,balance,payment_terms_days,active,notes,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by,route_id
00000000-0000-0000-0000-0000c0ffee03,00000000-0000-0000-0000-00000000d01c,DEMO-001,Cliente Demo,Cliente Demo S.A. de C.V.,,,,,,,00000000-0000-0000-0000-0000c0ffee02,0.00,0.00,0,t,Cliente de prueba creado por seed baseline.,2026-05-26 18:04:01.233828+00,,2026-05-27 15:15:30.938928+00,,,,
90cc289c-6036-457f-b414-b4e57d1dcfa1,00000000-0000-0000-0000-00000000d01c,TEST-B1-001,Test B.1 Customer,,XAXX010101000,test@example.com,,,,,,10000.00,0.00,0,t,,2026-05-26 18:17:19.043662+00,,2026-05-26 18:17:19.043662+00,,2026-05-26 18:17:19.043662+00,,
087d1ed4-ed43-46e6-a231-18741194aba6,00000000-0000-0000-0000-00000000d01c,CLI-0001,Abarrotes La Esquina,Abarrotes La Esquina S.A. de C.V.,AES010203XYZ,ventas@laesquina.mx,+52 55 1234 5678,"{""zip"": ""06700"", ""city"": ""Cuauhtémoc"", ""state"": ""CDMX"", ""street"": ""Av. Insurgentes"", ""country"": ""MX"", ""neighborhood"": ""Roma"", ""exterior_number"": ""123""}",,,00000000-0000-0000-0000-0000c0ffee02,15000.00,0.00,15,t,Cliente con buena rotación,2026-05-26 18:32:12.259713+00,,2026-05-26 18:32:40.645263+00,,,,
a659cf30-8318-42d3-9804-7155a465c2cb,00000000-0000-0000-0000-00000000d01c,CLI-0002,Mini Súper Don Pancho,,,,+52 55 9876 5432,,,,00000000-0000-0000-0000-0000c0ffee02,5000.00,0.00,0,t,,2026-05-26 18:32:12.259713+00,,2026-05-26 18:32:40.645263+00,,,,
bd42e907-772f-45a5-9719-abc14858bb70,00000000-0000-0000-0000-00000000d01c,CLI-0003,Tienda La Curva,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,0.00,0.00,0,t,,2026-05-26 18:32:12.259713+00,,2026-05-26 18:32:40.645263+00,,,,
6d61a667-9523-4e71-a5dc-fb609ac18ff7,00000000-0000-0000-0000-00000000d01c,TST-0001,Abarrotes La Esquina,,AES010203XYZ,,+52 55 1111 0001,"{""zip"": ""06700"", ""city"": ""Cuauhtémoc"", ""state"": ""CDMX"", ""street"": ""Av. Insurgentes"", ""neighborhood"": ""Roma"", ""exterior_number"": ""123""}",,,00000000-0000-0000-0000-0000c0ffee02,15000.00,0.00,15,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
1b14cbf7-36e8-450e-8c49-eb4523d79cd0,00000000-0000-0000-0000-00000000d01c,TST-0002,Mini Súper Don Pancho,,,,+52 55 1111 0002,,,,00000000-0000-0000-0000-0000c0ffee02,8000.00,0.00,7,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
a702f7e3-7d6f-47a7-8fb7-ab3e3b0456ed,00000000-0000-0000-0000-00000000d01c,TST-0003,Tienda La Curva,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,5000.00,0.00,0,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
7ddc9479-edec-4252-8122-f6f403c8190a,00000000-0000-0000-0000-00000000d01c,TST-0004,Papelería Doña Lupe,,,,+52 55 1111 0004,,,,00000000-0000-0000-0000-0000c0ffee02,3000.00,0.00,0,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
6d6e4a5f-f915-49b9-b0ec-2bba6f26f530,00000000-0000-0000-0000-00000000d01c,TST-0005,Abarrotes El Tío Beto,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,12000.00,0.00,15,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
666b9a13-f4a9-4ccc-bbcd-bb866517b318,00000000-0000-0000-0000-00000000d01c,TST-0006,Súper El Ahorro,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,25000.00,0.00,30,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
cd6a0e68-a8c0-4b16-b3f5-31dc4c07dd14,00000000-0000-0000-0000-00000000d01c,TST-0007,Tiendita Doña Rosa,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,0.00,0.00,0,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
01e7dd73-d990-4bf0-bbcc-3e17bbca6a5d,00000000-0000-0000-0000-00000000d01c,TST-0008,Mercadito San José,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,6000.00,0.00,0,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
683a2c18-c190-40d0-9f3d-3bfd95c88ec9,00000000-0000-0000-0000-00000000d01c,TST-0009,Abarrotes Buen Precio,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,10000.00,0.00,0,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
78f123ff-12dd-49e2-82fe-5b8dce0f3627,00000000-0000-0000-0000-00000000d01c,TST-0010,El Encanto Dulcería,,,,+52 55 1111 0010,,,,00000000-0000-0000-0000-0000c0ffee02,18000.00,0.00,15,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
0d60801b-f269-49c3-aab2-5956da0a5184,00000000-0000-0000-0000-00000000d01c,TST-0011,Tienda La Florecita,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,4500.00,0.00,0,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
3fff8ea0-e89e-4437-9c9a-50a939db11f6,00000000-0000-0000-0000-00000000d01c,TST-0012,Súper Mi Tienda,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,9000.00,0.00,0,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
27881926-3da0-49bc-9bb6-f1dca152abc0,00000000-0000-0000-0000-00000000d01c,TST-0014,Tienda Familiar Los Pinos,,,,,,,,00000000-0000-0000-0000-0000c0ffee02,0.00,0.00,0,t,,2026-05-26 18:36:10.69275+00,,2026-05-26 18:36:10.69275+00,,,,
